Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Proteines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG satures (g/100 g),AG monoinsatures (g/100 g),AG polyinsatures (g/100 g),AG 4:0    butyrique (g/100 g),AG 6:0    capro�que (g/100 g),AG 8:0    caprylique (g/100 g),AG 10:0    caprique (g/100 g),AG 12:0    laurique (g/100 g),AG 14:0    myristique (g/100 g),AG 16:0    palmitique (g/100 g),AG 18:0    stearique (g/100 g),AG 18:1 9c (n 9)    oleique (g/100 g),AG 18:2 9c   12c (n 6)    linoleique (g/100 g),AG 18:3 c9   c12   c15 (n 3)    alpha linolenique (g/100 g),AG 20:4 5c   8c   11c   14c (n 6)    arachidonique (g/100 g),AG 20:5 5c   8c   11c   14c   17c (n 3) EPA (g/100 g),AG 22:6 4c   7c   10c   13c   16c   19c (n 3) DHA (g/100 g),Cholesterol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (�g/100 g),Magnesium (mg/100 g),Manganese (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Selenium (�g/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Retinol (�g/100 g),Beta Carotene (�g/100 g),Vitamine D (�g/100 g),Vitamine E (mg/100 g),Vitamine K (�g/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothenique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (�g/100 g),Vitamine B12 (�g/100 g)
FARINED'ORGE,1590,380,6.88,12.00,76.00,4.00,,0.00,,0.00,,0.00,0.00,60.00,,16.00,,1.12,,,0.00,,,,,,,,,,,,,,,,,0.00,,0.00,,,2.88,,,,,500.00,,0.00,,0.00,0.00,,,,0.00,0.24,0.14,3.20,,,,
MAïsGRAINESSÈCHES,1527,365,10.37,9.42,74.26,4.74,,,,,,,,66.32,,7.30,,1.20,,,0.67,1.25,2.16,,,,,,,,,,,0.07,2.10,,,0.00,,7.00,,0.31,2.71,,127.00,0.49,210.00,287.00,15.50,35.00,2.21,22.00,97.00,,0.49,0.30,0.00,0.39,0.20,3.63,0.42,0.62,19.00,0.00
ORGEPERLÉCRU,1473,352,10.09,9.91,77.72,1.16,,,,,,,,61.32,,15.60,,1.11,,,0.24,0.15,0.56,,,,,,,,,,,0.06,0.51,,,0.00,,29.00,,0.42,2.50,,79.00,1.32,221.00,280.00,37.70,9.00,2.13,2.00,13.00,,0.02,2.20,0.00,0.19,0.11,0.00,0.28,0.26,23.00,0.00
PAINAUCHOCOLAT,1747,418,21.01,8.41,44.05,24.43,,,,,,,,,,3.88,,2.24,,,13.81,6.98,1.35,,,,,,,,,,,0.28,1.07,,,0.00,,40.70,,0.29,2.46,,45.40,,136.20,189.50,,671.00,1.08,124.30,,,0.51,,0.18,0.36,0.23,2.08,,0.06,25.90,0.27
PAINDEMIE,1126,269,0.00,7.69,50.00,3.85,,,,,,,,46.15,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,0.00,,76.92,,,2.77,,,,,,,576.92,,0.00,0.00,,,,0.00,0.46,0.26,3.08,,,92.31,
PAINBAGUETTE,1146,274,34.30,8.80,51.90,3.00,,,,,,,,48.66,,3.00,,2.00,,,0.64,1.22,0.69,,,,,,,,,,,0.03,0.66,,,0.00,,75.00,,0.19,2.53,5.42,27.00,0.51,105.00,113.00,31.50,609.00,0.87,0.00,0.00,,0.30,1.00,0.00,0.52,0.33,4.75,0.39,0.04,148.00,0.00
PAINCOMPLET,1046,250,37.70,10.00,46.40,3.80,,,,,,,,29.95,,6.40,,2.20,,,0.81,1.52,0.92,,,,,,,,,,,0.06,0.87,,,0.00,,91.00,,0.25,3.47,,53.00,1.49,176.00,204.00,29.50,487.00,1.27,0.00,0.00,,0.34,2.20,0.30,0.41,0.34,4.37,0.51,0.33,118.00,0.07
PAINMBASSESS,1277,305,32.59,8.36,49.31,7.85,,0.00,,0.00,,0.00,0.00,46.23,,2.85,,1.90,,,1.33,2.18,3.55,,,,,,,,,,,0.37,3.18,,,0.00,,71.25,,0.18,2.40,5.15,25.65,0.48,99.75,107.35,29.93,578.55,0.83,0.00,0.00,0.00,1.19,10.60,0.00,0.49,0.31,4.51,0.37,0.04,140.60,0.00
PAINMLAWI,1097,262,28.98,7.10,44.26,5.68,,0.00,,0.00,,0.00,0.00,42.22,,1.26,,1.91,,,0.77,1.06,3.02,,,,,,,,,,,0.35,2.67,,,0.00,,9.90,,0.06,0.70,68.00,14.10,0.19,74.40,55.80,0.00,590.90,0.32,0.00,0.00,0.00,0.99,9.65,0.00,0.14,0.04,1.38,0.17,0.03,21.60,0.00
PAINORGE,973,233,36.67,7.94,46.06,2.40,,0.00,,0.00,,0.00,0.00,36.00,,9.60,,2.17,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,1.85,,,1.86,68.00,3.70,,,329.61,,591.85,0.14,0.00,0.00,,,,0.00,0.37,0.13,2.48,0.00,0.05,11.10,0.28
PAINTABOUNA,1021,244,37.67,8.01,44.53,3.16,,0.00,,0.00,,0.00,0.00,41.57,,1.62,,1.93,,,0.42,0.56,1.62,,,,,,,,,,,0.18,1.43,,,0.00,,11.85,,0.08,0.85,68.00,22.50,0.25,76.80,104.01,,592.65,0.56,0.00,0.00,0.00,0.56,4.83,0.00,0.37,0.09,2.14,0.23,0.09,39.90,0.28
PAINTAGINE,1111,266,33.58,8.35,44.16,5.63,,0.00,,0.00,,0.00,0.00,40.28,,2.34,,1.96,,,0.81,1.10,3.15,,,,,,,,,,,0.36,2.79,,,0.00,,12.05,,0.11,0.87,68.00,31.90,0.37,81.60,141.21,0.00,592.45,0.77,0.00,0.00,0.00,1.07,9.65,0.00,0.39,0.10,2.54,0.35,0.11,54.30,0.28
PÂTEALIMENTAIRECRUE,1552,371,10.25,12.78,74.69,1.58,,0.80,,0.80,,l.00,0.80,68.89,,2.40,,0.70,,,0.23,0.19,0.65,,,,,,,,,,,0.06,0.59,,,0.00,,18.00,,0.25,1.30,,48.00,0.69,150.00,162.00,62.20,7.00,1.21,0.00,0.00,,0.16,,0.00,0.09,0.06,1.70,0.43,0.11,18.00,0.00
PÂTEFEUILLETÉECRUE,2305,551,8.50,7.30,45.10,38.10,,,,,,,,42.86,,1.50,,1.00,,,9.64,21.60,4.89,,,,,,,,,,,0.25,4.65,,,0.00,,10.00,,0.11,2.56,,16.00,0.49,60.00,61.00,24.20,249.00,0.53,0.10,0.00,,0.54,16.10,0.00,0.40,0.28,4.17,0.00,0.02,78.00,0.00
RIZCRU,1506,360,12.89,6.61,79.34,0.58,,,,0.17,,0.08,0.17,77.66,,1.18,,0.58,,,0.16,0.18,0.16,,,,,,,,,,,0.03,0.13,,,0.00,,9.00,,0.11,0.80,13.110,35.00,1.10,108.00,86.00,15.00,1.00,1.16,,,,0.09,,0.00,0.07,0.05,1.60,1.34,0.15,9.00,0.00
SEMOULE,1506,360,12.67,12.68,72.83,1.05,,,,,,,,67.13,,3.90,,0.77,,,0.15,0.12,0.43,,,,,,,,,,,0.04,0.39,,,0.00,,17.00,,0.19,1.23,,47.00,0.62,136.00,I86.00,,1.00,1.05,0.00,0.00,,0.26,,0.01,0.28,0.08,3.31,0.58,0.10,72.00,0.00
SORGHO,1418,339,9.20,11.30,66.03,3.30,,,,,,,,63.43,,10.00,,1.57,,,0.46,0.99,1.37,,,,,,,,,,,0.07,1.31,,,0.00,,28.00,,,4.40,,,,287.00,350.00,,6.00,,0.00,0.00,,0.07,,0.00,0.24,0.14,2.93,,,,0.00
Amidon,1594,381,8.32,0.26,91.27,0.05,,0.00,,0.00,,0.00,0.00,90.37,,0.90,,0.09,,,0.01,0.02,0.03,,,,,,,,,,,0.00,0.03,,,0.00,,2.00,,0.05,0.47,,3.00,0.05,13.00,3.00,2.80,9.00,0.06,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLÉENGRAINES,1368,327,13.10,12.61,65.68,1.54,,,,,,,,58.57,,12.20,,1.57,,,0.27,0.20,0.63,,,,,,,,,,,0.03,0.60,,,0.00,,29.00,,0.43,3.19,0.60,126.00,3.99,288,363.00,70.70,2.00,2.65,0.90,5.00,,1.01,1.90,0.00,0.38,0.12,5.46,0.95,0.30,38.00,0.00
BRIOCHE,1699,406,23.20,8.20,45.80,21.00,,,,,,,,39.97,,2.60,,1.60,,,11.66,5.53,1.09,,,,,,,,,,,0.29,0.80,,,67.00,,37.00,,0.08,2.03,,16.00,0.33,105.00,118.00,22.70,744.00,0.75,187.00,,0.15,0.43,0.39,0.20,,0.24,2.19,0.86,0.06,62.00,0.16
ARTICHAUTCRU,197,47,84.94,3.27,8.36,0.15,,,,,,,,3.11,,5.40,,1.13,,,0.04,0.01,0.06,,,,,,,,,,,0.02,0.05,,,0.00,,44.00,,0.23,1.28,,60.00,0.26,90.00,370.00,0.20,94.00,0.49,0.00,0.00,,0.19,14.00,11.70,0.07,0.07,1.05,0.34,0.12,68,68000
AUBERGINECRUE,100,24,92.4,1.01,5.70,0.19,,,,,,,,,,,,0.70,,,0.03,0.02,0.08,,,,,,,,,,,0.01,0.06,,,0.00,,9.00,,0.08,0.24,,14.00,0.25,25.00,230.00,0.30,2.00,0.16,2.00,16.00,,0.30,3.50,2.20,0.04,0.04,0.65,0.28,0.08,22,22000
BETTECRUE,79,19,92.66,1.80,3.74,0.20,,,,,,,,1.04,,1.60,,1.60,,,0.03,0.04,0.07,,,,,,,,,,,0.01,0.06,,,0.00,,51.00,,0.18,1.80,,81.00,0.37,46.00,379.00,0.90,213.00,0.36,612.00,3647.00,,1.89,830.00,30.00,0.04,0.09,0.40,0.17,0.10,14,14000
BETTERAVEROUGECRUE,180,43,87.58,1.61,9.56,0.17,,0.21,,0.21,,,6.35,0.00,,2.80,,1.08,,,0.03,0.03,0.06,,,,,,,,,,,0.01,0.06,,,0.00,,16.00,,0.08,0.80,,23.00,0.33,40.00,325.00,0.70,78.00,0.35,4.00,20.00,,0.04,0.20,4.90,0.03,0.04,0.33,0.16,0.07,109,109000
CARDONCRU,92,22,93.46,0.76,5.33,0.11,,,,,,,,1.83,,1.70,,0.34,,,0.01,0.02,0.04,,,,,,,,,,,0.00,0.04,,,0.00,,72.00,,0.03,0.73,,43.00,0.13,23.00,392.00,1.00,176.00,0.18,12.00,,,,,1.70,0.02,0.03,0.29,0.10,0.04,22,22000
CAROTTECRUE,172,41,88.29,0.93,9.58,0.24,,0.53,,0.57,,0.00,3.44,2.04,,3.00,,0.97,,,0.03,0.01,0.10,,,,,,,,,,,0.00,0.10,,,0.00,,33.00,,0.05,0.30,,12.00,0.14,35.00,320.000,0.10,69.00,0.24,1204.00,5774.00,,0.66,13.20,5.90,0.07,0.06,0.98,0.27,0.14,19,19000
CÉLERIBRANCHECRU,46,11,94.40,0.90,1.50,0.10,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,0.00,,52.00,,,0.50,,14.00,,32.00,305.00,,110.00,,,60.00,0.00,0.20,,8.00,0.05,0.04,0.40,0.40,0.07,18,18000
CÉLERIRAVECRU,59,14,95.43,0.69,2.97,0.17,,0.38,,0.41,,0.00,0.08,0.00,,1.60,,0.75,,,0.04,0.03,0.08,,,,,,,,,,,0.00,0.08,,,0.00,,40.00,,0.04,0.20,,11.00,0.10,24.00,260.00,0.40,80.00,0.13,44.00,270.00,,0.27,29.30,3.10,0.02,0.06,0.32,0.25,0.07,36,36000
CHAMPIGNONCRU,92,22,92.46,3.11,3.24,0.34,,0.17,,1.69,,0.00,0.00,0.18,,1.20,,0.85,,,0.05,0.01,0.14,,,,,,,,,,,0.00,0.13,,,0.00,,3.00,,0.32,0.52,3.00,9.00,0.05,85.00,314.00,8.90,4.00,0.52,0.00,0.00,1.90,0.01,0.10,2.40,0.09,0.42,3.85,1.51,0.12,16,16000
CHOUVERTCRU,100,24,92.15,1.44,5.58,0.12,,1.65,,1.79,,0.02,0.12,0.00,,2.00,,0.71,,,0.02,0.01,0.06,,,,,,,,,,,0.03,0.03,,,0.00,,47.00,,0.02,0.59,,0.59,0.16,23.00,246.00,0.90,18.00,0.18,18.00,90.00,,0.15,60.00,32.20,0.05,0.04,0.30,0.14,0.10,43,43000
CHOUFLEURCRU,105,25,91.91,1.98,5.30,0.10,,,,,,,,0.40,,2.50,,0.71,,,0.02,0.01,0.07,,,,,,,,,,,0.05,0.02,,,0.00,,22.00,,0.04,0.44,,15.00,0.16,44.00,303.00,0.60,30.00,0.28,2.00,8.00,,0.08,16.00,46.40,0.06,0.06,0.53,0.65,0.22,57,57000
CONCOMBRECRU,50,12,96.73,0.59,2.16,0.16,,0.75,,0.63,,0.00,0.00,0.08,,0.70,,0.36,,,0.01,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,14.00,,0.07,0.22,,12.00,0.07,21.00,136.00,0.10,2.00,0.17,8.00,31.00,,0.03,7.20,3.20,0.03,0.03,0.04,0.24,0.05,14,14000
CORÈTE/mloukhia,948,227,21.33,31.00,21.92,1.67,,,,,,,,,,8.07,,10.53,,,0.25,0.11,0.80,,,,,,,,,,,0.01,0.78,,,0.00,,1386.66,,1.70,31.73,,426.67,0.82,553.33,3726.66,6.00,53.33,5.27,3706.66,22240.00,0.00,,,246.67,0.89,3.64,8.40,0.48,4.00,820,820000
COURGEPULPECRUE,109,26,91.60,1.00,6.50,0.10,,,,,,,,4.64,,0.50,,0.80,,,0,05,0.01,0.01,,,,,,,,,,,0.00,0.00,,,0.00,,21.00,,0.13,0.80,,12,0.13,44.00,340.00,0.30,1.00,0.32,738.00,3100.00,,1.06,1.10,9.00,0.05,0.11,0,6,0,3,0,06,16,16000
COURGETTECRUE,67,16,94.64,1.21,3.35,0.18,,0.95,,0.75,,0.00,0.03,0.52,,1.10,,0.62,,,0.04,0.01,0.08,,,,,,,,,,,0.05,0.03,,,0.00,,15.00,,0.05,0.35,,17.00,0.18,38.00,262.00,0.20,10.00,0.29,20.00,120.00,,0.12,4.30,17.00,17.00,0.14,0.49,0.16,0.22,29,29000
ENDIVECRUE,71,17,94.52,0.90,4.00,0.10,,,,,,,,,,4.00,,0.47,,,0.02,0.00,0.04,,,,,,,,,,,0.01,0.04,,,0.00,,19.00,,0.05,0.24,,10.00,0.10,26.00,211.00,0.20,2.00,0.16,2.00,,,,,2.80,0.06,0.03,0.16,0.15,0.04,37,37000
EPINARDCRU,96,23,91.40,2.86,3.63,0.39,,0.15,,0.11,,0.00,0.07,1.01,,2.20,,1.72,,,0.06,0.01,0.17,,,,,,,,,,,0.14,0.03,,,0.00,,99.00,,0.13,2.71,2.00,79.00,0.90,49.00,558.00,1.00,79.00,0.53,938.00,5626.00,,2.03,482.90,28.10,0.08,0.19,0.72,0.07,0.20,0,1,100
FENOUILCRU,130,31,90.2,1.24,7.29,0.20,,,,,,,,4.03,,3.10,,1.05,,,,,,,,,,,,,,,,,,,,0.00,,49.00,,0.07,0.73,,17.00,0.19,50.00,414.00,0.70,52.00,0.20,14.00,,,,,12.00,0.01,0.03,0.64,0.23,0.05,27,27000
FENOUILFEUILLECRU,84,20,86.00,2.43,6.15,0.30,,,,,,,,,,3.33,,5.00,,,,,,,,,,,,,,,,,,,,0.00,,109.00,,0.06,2.70,,49.00,,51.00,494.00,,86.00,0.25,522.00,3132.00,,,,93.00,0.23,0.11,0.20,0.25,0.10,100,100000
FÈVEFRAÎCHECRUE,30,72,81.00,5.60,11.70,0.60,,,,,,,,1.80,,4.20,,1.10,,,0.14,0.02,0.31,,,,,,,,,,,0.19,0.12,,,0.00,,22.00,,0.07,1.90,,38.00,0.32,95.00,250.00,1.20,50.00,0.58,36.00,,0.00,1.00,,33.33,0.17,0.11,1.50,0.09,0.04,96,96000
GOMBOCRU,130,31,90.17,2.00,7.03,0.10,,0.34,,0.21,,0.00,0.65,2.63,,3.20,,0.70,,,0.03,0.02,0.03,,,,,,,,,,,0.00,0.03,,,0.00,,81.00,,0.09,0.80,,57.00,0.99,63.00,303.00,0.70,8.00,0.60,38.00,225.00,,0.36,53.00,21.10,0.20,0.06,1.00,0.25,0.22,88,88000
HARICOTVERTCRU,123,29,93.59,1.18,4.70,0.00,,,,,,,,0.00,,2.35,,0.53,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,23.52,,,0.42,,,,,,,11.76,,23.52,135.59,,,,1.41,,,,,,,#VALEUR!
LAITUECRUE,42,10,96.26,0.81,2.09,0.11,,0.55,,0.55,,0.00,0.00,0.00,,1.00,,0.31,,,0.01,0.00,0.06,,,,,,,,,,,0.04,0.02,,,0.00,,20.00,,0.03,0.35,3.30,8.00,0.13,22.00,152.00,0.50,9.00,0.16,32.00,192.00,,0.03,24.10,3.90,0.04,0.02,0.12,0.12,0.05,56,56000
NAVETCRU,117,28,91.87,0.90,6.43,0.10,,0.00,,2.97,,0.00,0.83,0.83,,1.80,,0.70,,,0.01,0.01,0.05,,,,,,,,,,,0.04,0.01,,,0.00,,30.00,,0.90,0.30,,11.00,0.13,27.00,191.00,0.70,67.00,0.27,0.00,0.00,,0.03,0.10,21.00,0.04,0.03,0.40,0.20,0.09,15,15000
OIGNONCRU,176,42,88.54,0.92,10.11,0.08,,1.16,,1.95,,0.00,1.16,4.43,,1.40,,0.35,,,0.02,0.02,0.05,,,,,,,,,,,0.00,0.01,,,0.00,,22.00,,0.04,0.19,2.00,10.00,0.13,27.00,144.00,0.50,3.00,0.16,0.20,1.00,,0.02,0.40,6.40,0.05,0.03,0.08,0.12,0.15,19,19000
PERSILFRAIS,151,36,87.71,2.97,6.33,0.79,,,,,,,,2.18,,3.30,,2.20,,,0.13,0.30,0.12,,,,,,,,,,,0.01,0.12,,,0.00,,138.00,,0.15,6.20,,50.00,0.16,58.00,554.00,0.10,56.00,1.07,842.00,5054.00,,0.75,1640.00,133.00,0.09,0.10,1.31,0.40,0.09,152,152000
PETITPOISCRU,339,81,78.86,5.42,14.46,0.40,,0.39,,0.12,,0.17,4.99,3.69,,5.10,,0.87,,,0.07,0.04,0.04,,,,,,,,,,,0.19,0.!15,,,0.00,,25.00,,0.18,1.47,2.00,33.00,0.41,108.00,244.00,1.80,5.00,1.24,76.00,449.00,,0.13,24.80,40.00,0.27,0.13,2.09,0.10,0.17,65,65000
POIREAUCRU,255,61,83.00,1.50,14.15,0.30,,,,,,,,8.45,,1.80,,1.05,,,0.04,0.00,0.17,,,,,,,,,,,0.10,0.07,,,0.00,,59.00,,0.12,2.10,,28.00,0.48,35.00,180.00,1.00,20.00,0.12,166.00,1000.00,,0.92,47.00,12.00,0.06,0.03,0.40,0.14,0.23,64,64000
POIVRONVERTCRU,84,20,93.89,0.86,4.64,0.17,,1.13,,1.17,,0.00,0.11,0.54,,1.70,,0.43,,,0.06,0.01,0.06,,,,,,,,,,,0.01,0.05,,,0.00,,10.00,,0.07,0.34,1.00,10.00,0.12,20.00,175.00,0.00,3.00,0.13,36.00,208.00,,0.37,7.40,80.40,0.06,0.03,0.48,0.10,0.22,11,11000
RADISCRU,67,16,95.27,0.68,3.40,0.10,,,,,,,,,,,,0.55,,,0.03,0.02,0.05,,,,,,,,,,,0.03,0.02,,,0.00,,25.00,,0.05,0.34,1.00,10.00,0.07,20.00,233.00,0.60,39.00,0.28,0.70,4.00,,0.00,1.30,14.80,0.01,0.04,0.25,0.17,0.07,25,25000
TOMATECONCENTRÉE,343,82,73.50,4.32,18.91,0.10,,5.00,,4.91,,0.24,0.26,4.00,,4.50,,2.80,,,0.10,0.07,0.16,,,,,,,,,,,0.01,0.15,,,2.00,,36.00,,0.37,2.98,,42.00,0.30,83.00,1014.00,5.30,98.00,0.63,152.00,901.00,,4.30,11.40,21.90,0.06,0.15,3.08,0.14,0.22,12,12000
TOMATECRUE,75,18,94.50,0.88,3.92,0.20,,1.38,,1.25,,0.00,0.00,0.09,,1.20,,0.50,,,0.04,0.04,0.12,,,,,,,,,,,0.00,0.11,,,0.00,,10.00,,0.06,0.27,,11.00,0.11,24.00,237.00,0.00,5.00,0.17,84.00,449.00,,0.54,7.90,12.70,0.04,0.02,0.59,0.09,0.08,15,15000
ABRICOT,201,48,86.35,1.40,11.12,0.39,,0.93,,2.34,,0.06,5.79,0.00,,2.00,,0.75,,,0.03,0.17,0.08,,,,,,,,,,,0.00,0.08,,,0.00,,13.00,,0.08,0.39,,10.00,0.08,23.00,259.00,0.10,1.06,0.20,192.00,1094.00,,0.89,3.30,10.00,0.03,0.04,0.60,0.24,0.05,9,9000
ABRICOTSEC,996,238,31.09,3.65,54.82,0.46,,,,,,,,,,7.80,,3.05,,,0.03,0.20,0.09,,,,,,,,,,,,,,,0.00,,45.00,,0.43,4.70,,47.00,0.28,117.00,1378.00,2.20,10.00,0.74,724.00,,,,,2.40,0.01,0.15,3.00,0.75,0.16,10,3,10300
